freq	length_group	segdup	n_variants	linreg_number_reclassified.beta	linreg_number_reclassified.standard_error	linreg_number_reclassified.t_stat	linreg_number_reclassified.p_value	linreg_number_reclassified.multiple_standard_error	linreg_number_reclassified.multiple_r_squared	linreg_number_reclassified.adjusted_r_squared	linreg_number_reclassified.f_stat	linreg_number_reclassified.multiple_p_value	linreg_number_reclassified.n	linreg_number_reclassified.intercept_beta	linreg_number_reclassified.intercept_standard_error	linreg_number_reclassified.intercept_t_stat	linreg_number_reclassified.intercept_p_value	linreg_number_homvars_with_ref_support.beta	linreg_number_homvars_with_ref_support.standard_error	linreg_number_homvars_with_ref_support.t_stat	linreg_number_homvars_with_ref_support.p_value	linreg_number_homvars_with_ref_support.multiple_standard_error	linreg_number_homvars_with_ref_support.multiple_r_squared	linreg_number_homvars_with_ref_support.adjusted_r_squared	linreg_number_homvars_with_ref_support.f_stat	linreg_number_homvars_with_ref_support.multiple_p_value	linreg_number_homvars_with_ref_support.n	linreg_number_homvars_with_ref_support.intercept_beta	linreg_number_homvars_with_ref_support.intercept_standard_error	linreg_number_homvars_with_ref_support.intercept_t_stat	linreg_number_homvars_with_ref_support.intercept_p_value
0.0000e+00	-10	false	48325	5.5289e-04	1.7642e-04	3.1339e+00	1.7254e-03	8.3046e-03	7.8099e-05	7.0147e-05	9.8213e+00	1.7254e-03	125748	4.8471e-03	2.3609e-05	2.0530e+02	0.0000e+00	-7.3064e-04	1.2734e-04	-5.7376e+00	9.6231e-09	8.3038e-03	2.6173e-04	2.5378e-04	3.2920e+01	9.6231e-09	125748	4.8767e-03	2.3682e-05	2.0593e+02	0.0000e+00
0.0000e+00	-10	true	7718	-6.8513e-04	1.9229e-04	-3.5630e+00	3.6676e-04	8.3045e-03	1.0095e-04	9.2996e-05	1.2695e+01	3.6676e-04	125748	4.8661e-03	2.3574e-05	2.0642e+02	0.0000e+00	-2.0954e-03	1.1756e-04	-1.7824e+01	5.5927e-71	8.2944e-03	2.5202e-03	2.5123e-03	3.1771e+02	5.5927e-71	125748	4.9285e-03	2.3737e-05	2.0763e+02	0.0000e+00
0.0000e+00	-5	false	51568	2.7772e-03	2.8836e-04	9.6310e+00	6.0187e-22	8.3018e-03	7.3710e-04	7.2916e-04	9.2756e+01	6.0187e-22	125748	4.8387e-03	2.3484e-05	2.0604e+02	0.0000e+00	1.1267e-03	1.6926e-04	6.6565e+00	2.8149e-11	8.3034e-03	3.5225e-04	3.4430e-04	4.4310e+01	2.8149e-11	125748	4.8373e-03	2.3592e-05	2.0504e+02	0.0000e+00
0.0000e+00	-5	true	5790	-4.2193e-04	5.8480e-04	-7.2149e-01	4.7061e-01	8.3049e-03	4.1396e-06	-3.8129e-06	5.2055e-01	4.7061e-01	125748	4.8571e-03	2.3439e-05	2.0723e+02	0.0000e+00	2.8186e-04	3.9131e-04	7.2029e-01	4.7135e-01	8.3049e-03	4.1259e-06	-3.8266e-06	5.1882e-01	4.7135e-01	125748	4.8554e-03	2.3461e-05	2.0696e+02	0.0000e+00
0.0000e+00	-1	false	421843	4.6640e-03	2.2649e-04	2.0592e+01	4.5914e-94	8.2909e-03	3.3609e-03	3.3530e-03	4.2405e+02	4.5914e-94	125748	4.8128e-03	2.3476e-05	2.0501e+02	0.0000e+00	3.3610e-03	5.0828e-05	6.6125e+01	0.0000e+00	8.1642e-03	3.3604e-02	3.3597e-02	4.3726e+03	0.0000e+00	125748	4.4775e-03	2.3725e-05	1.8872e+02	0.0000e+00
0.0000e+00	-1	true	55595	-1.0897e-03	2.6168e-04	-4.1644e+00	3.1231e-05	8.3043e-03	1.3790e-04	1.2995e-04	1.7343e+01	3.1231e-05	125748	4.8645e-03	2.3498e-05	2.0702e+02	0.0000e+00	1.5025e-03	1.1319e-04	1.3274e+01	3.4823e-40	8.2991e-03	1.3993e-03	1.3913e-03	1.7620e+02	3.4823e-40	125748	4.8020e-03	2.3760e-05	2.0211e+02	0.0000e+00
0.0000e+00	0	false	12210843	2.6305e-03	8.4342e-05	3.1188e+01	1.0038e-212	8.2730e-03	7.6761e-03	7.6682e-03	9.7271e+02	1.0038e-212	125748	4.7293e-03	2.3683e-05	1.9969e+02	0.0000e+00	1.9636e-04	1.7889e-06	1.0977e+02	0.0000e+00	7.9335e-03	8.7444e-02	8.7437e-02	1.2049e+04	0.0000e+00	125748	3.9838e-03	2.3743e-05	1.6779e+02	0.0000e+00
0.0000e+00	0	true	1717023	5.3355e-06	5.1081e-05	1.0445e-01	9.1681e-01	8.3049e-03	8.6764e-08	-7.8658e-06	1.0910e-02	9.1681e-01	125748	4.8559e-03	2.4022e-05	2.0214e+02	0.0000e+00	3.0528e-04	5.5913e-06	5.4599e+01	0.0000e+00	8.2082e-03	2.3158e-02	2.3150e-02	2.9811e+03	0.0000e+00	125748	4.2490e-03	2.5682e-05	1.6545e+02	0.0000e+00
0.0000e+00	1	false	187786	-1.0853e-04	2.4746e-04	-4.3858e-01	6.6096e-01	8.3049e-03	1.5297e-06	-6.4228e-06	1.9236e-01	6.6096e-01	125748	4.8573e-03	2.3510e-05	2.0661e+02	0.0000e+00	1.2700e-03	5.2798e-05	2.4054e+01	1.4684e-127	8.2858e-03	4.5803e-03	4.5724e-03	5.7860e+02	1.4684e-127	125748	4.6889e-03	2.4383e-05	1.9230e+02	0.0000e+00
0.0000e+00	1	true	23428	-1.4412e-04	4.1840e-04	-3.4445e-01	7.3051e-01	8.3049e-03	9.4355e-07	-7.0090e-06	1.1865e-01	7.3051e-01	125748	4.8569e-03	2.3450e-05	2.0712e+02	0.0000e+00	1.3635e-03	1.3626e-04	1.0006e+01	1.4591e-23	8.3016e-03	7.9563e-04	7.8768e-04	1.0013e+02	1.4591e-23	125748	4.8197e-03	2.3697e-05	2.0339e+02	0.0000e+00
0.0000e+00	5	false	28195	-6.5662e-04	2.8936e-04	-2.2692e+00	2.3257e-02	8.3047e-03	4.0948e-05	3.2996e-05	5.1493e+00	2.3257e-02	125748	4.8607e-03	2.3495e-05	2.0689e+02	0.0000e+00	-7.5876e-04	1.1438e-04	-6.6339e+00	3.2828e-11	8.3034e-03	3.4986e-04	3.4191e-04	4.4008e+01	3.2828e-11	125748	4.8830e-03	2.3757e-05	2.0554e+02	0.0000e+00
0.0000e+00	5	true	3061	-1.5592e-03	5.6038e-04	-2.7825e+00	5.3953e-03	8.3046e-03	6.1566e-05	5.3614e-05	7.7422e+00	5.3953e-03	125748	4.8591e-03	2.3439e-05	2.0731e+02	0.0000e+00	-2.6634e-03	3.9789e-04	-6.6939e+00	2.1825e-11	8.3034e-03	3.5621e-04	3.4826e-04	4.4808e+01	2.1825e-11	125748	4.8656e-03	2.3456e-05	2.0744e+02	0.0000e+00
