freq	length_group	segdup	n_variants	linreg_number_reclassified.beta	linreg_number_reclassified.standard_error	linreg_number_reclassified.t_stat	linreg_number_reclassified.p_value	linreg_number_reclassified.multiple_standard_error	linreg_number_reclassified.multiple_r_squared	linreg_number_reclassified.adjusted_r_squared	linreg_number_reclassified.f_stat	linreg_number_reclassified.multiple_p_value	linreg_number_reclassified.n	linreg_number_reclassified.intercept_beta	linreg_number_reclassified.intercept_standard_error	linreg_number_reclassified.intercept_t_stat	linreg_number_reclassified.intercept_p_value	linreg_number_homvars_with_ref_support.beta	linreg_number_homvars_with_ref_support.standard_error	linreg_number_homvars_with_ref_support.t_stat	linreg_number_homvars_with_ref_support.p_value	linreg_number_homvars_with_ref_support.multiple_standard_error	linreg_number_homvars_with_ref_support.multiple_r_squared	linreg_number_homvars_with_ref_support.adjusted_r_squared	linreg_number_homvars_with_ref_support.f_stat	linreg_number_homvars_with_ref_support.multiple_p_value	linreg_number_homvars_with_ref_support.n	linreg_number_homvars_with_ref_support.intercept_beta	linreg_number_homvars_with_ref_support.intercept_standard_error	linreg_number_homvars_with_ref_support.intercept_t_stat	linreg_number_homvars_with_ref_support.intercept_p_value
0.0000e+00	-10	false	1478706	4.3967e-04	9.3687e-06	4.6929e+01	0.0000e+00	4.8128e-03	1.2298e-01	1.2292e-01	2.2024e+03	0.0000e+00	15708	3.8441e-03	5.5013e-05	6.9876e+01	0.0000e+00	2.0803e-04	1.0720e-05	1.9406e+01	6.3682e-83	5.0787e-03	2.3417e-02	2.3355e-02	3.7661e+02	6.3682e-83	15708	4.8456e-03	5.9566e-05	8.1348e+01	0.0000e+00
0.0000e+00	-10	true	116277	7.0535e-04	4.8369e-05	1.4583e+01	7.4528e-48	5.1048e-03	1.3359e-02	1.3296e-02	2.1265e+02	7.4528e-48	15708	5.3069e-03	4.8574e-05	1.0925e+02	0.0000e+00	-6.5991e-05	4.3305e-05	-1.5239e+00	1.2756e-01	5.1388e-03	1.4783e-04	8.4170e-05	2.3222e+00	1.2756e-01	15708	5.7336e-03	4.8979e-05	1.1706e+02	0.0000e+00
0.0000e+00	-5	false	1486300	7.6892e-04	1.5914e-05	4.8317e+01	0.0000e+00	4.7952e-03	1.2941e-01	1.2935e-01	2.3346e+03	0.0000e+00	15708	4.3446e-03	4.7354e-05	9.1746e+01	0.0000e+00	3.7991e-04	1.5786e-05	2.4067e+01	1.0453e-125	5.0470e-03	3.5566e-02	3.5505e-02	5.7920e+02	1.0453e-125	15708	4.8253e-03	5.4045e-05	8.9284e+01	0.0000e+00
0.0000e+00	-5	true	79988	1.6482e-03	8.7141e-05	1.8914e+01	6.5209e-79	5.0817e-03	2.2271e-02	2.2209e-02	3.5776e+02	6.5209e-79	15708	5.3981e-03	4.3437e-05	1.2427e+02	0.0000e+00	5.2362e-04	9.3678e-05	5.5895e+00	2.3148e-08	5.1341e-03	1.9853e-03	1.9217e-03	3.1243e+01	2.3148e-08	15708	5.6050e-03	4.3871e-05	1.2776e+02	0.0000e+00
0.0000e+00	-1	false	10229008	5.3295e-04	1.0707e-05	4.9777e+01	0.0000e+00	4.7763e-03	1.3626e-01	1.3621e-01	2.4777e+03	0.0000e+00	15708	4.1223e-03	4.9475e-05	8.3321e+01	0.0000e+00	1.0572e-04	2.2646e-06	4.6684e+01	0.0000e+00	4.8159e-03	1.2185e-01	1.2180e-01	2.1794e+03	0.0000e+00	15708	4.1834e-03	5.0219e-05	8.3302e+01	0.0000e+00
0.0000e+00	-1	true	543499	1.3195e-03	5.9430e-05	2.2203e+01	1.4400e-107	5.0604e-03	3.0433e-02	3.0371e-02	4.9298e+02	1.4400e-107	15708	5.2464e-03	4.5105e-05	1.1632e+02	0.0000e+00	7.3845e-04	2.7326e-05	2.7023e+01	3.0177e-157	5.0237e-03	4.4430e-02	4.4370e-02	7.3027e+02	3.0177e-157	15708	4.9878e-03	4.7826e-05	1.0429e+02	0.0000e+00
0.0000e+00	0	false	181912625	2.1208e-04	4.6912e-06	4.5209e+01	0.0000e+00	4.8343e-03	1.1515e-01	1.1509e-01	2.0438e+03	0.0000e+00	15708	4.1562e-03	5.1411e-05	8.0841e+01	0.0000e+00	6.5218e-06	1.0674e-07	6.1101e+01	0.0000e+00	4.6194e-03	1.9205e-01	1.9200e-01	3.7333e+03	0.0000e+00	15708	4.0297e-03	4.5819e-05	8.7947e+01	0.0000e+00
0.0000e+00	0	true	9283591	6.7193e-04	2.2418e-05	2.9972e+01	5.4783e-192	4.9983e-03	5.4103e-02	5.4043e-02	8.9834e+02	5.4783e-192	15708	4.9183e-03	4.7520e-05	1.0350e+02	0.0000e+00	7.0432e-05	1.4456e-06	4.8721e+01	0.0000e+00	4.7900e-03	1.3129e-01	1.3124e-01	2.3737e+03	0.0000e+00	15708	4.2289e-03	4.8616e-05	8.6986e+01	0.0000e+00
0.0000e+00	1	false	5735783	5.8555e-04	1.6197e-05	3.6151e+01	5.8427e-275	4.9379e-03	7.6817e-02	7.6758e-02	1.3069e+03	5.8427e-275	15708	4.4597e-03	5.2112e-05	8.5579e+01	0.0000e+00	6.1741e-05	2.2756e-06	2.7132e+01	1.7971e-158	5.0228e-03	4.4773e-02	4.4712e-02	7.3617e+02	1.7971e-158	15708	4.4954e-03	5.9614e-05	7.5407e+01	0.0000e+00
0.0000e+00	1	true	293274	1.4974e-03	8.7520e-05	1.7109e+01	4.9336e-65	5.0920e-03	1.8296e-02	1.8234e-02	2.9272e+02	4.9336e-65	15708	5.4411e-03	4.3211e-05	1.2592e+02	0.0000e+00	5.7164e-04	2.6128e-05	2.1878e+01	1.5101e-104	5.0626e-03	2.9575e-02	2.9513e-02	4.7867e+02	1.5101e-104	15708	5.0302e-03	5.0487e-05	9.9633e+01	0.0000e+00
