freq	length_group	segdup	n_variants	mean_number_homvars_with_ref_support	mean_number_reclassified
0.0000e+00	-10	false	1478706	4.0727e+00	4.2048e+00
0.0000e+00	-10	true	116277	6.1867e-01	5.4717e-01
0.0000e+00	-5	false	1486300	2.2834e+00	1.7534e+00
0.0000e+00	-5	true	79988	1.6762e-01	1.7883e-01
0.0000e+00	-1	false	10229008	1.4278e+01	2.9468e+00
0.0000e+00	-1	true	543499	9.5474e-01	3.3830e-01
0.0000e+00	0	false	181912625	2.5502e+02	7.2456e+00
0.0000e+00	0	true	9283591	2.0785e+01	1.1527e+00
0.0000e+00	1	false	5735783	1.9395e+01	2.1059e+00
0.0000e+00	1	true	293274	1.1592e+00	1.6813e-01
0.0000e+00	5	false	914538	3.0856e+00	1.2862e+00
0.0000e+00	5	true	48208	1.8971e-01	9.3456e-02
0.0000e+00	10	false	1037559	3.8859e+00	1.6109e+00
0.0000e+00	10	true	72339	5.3972e-01	1.2541e-01
1.0000e-02	-10	false	136797	1.7503e+01	1.5752e+01
1.0000e-02	-10	true	9925	2.2855e+00	1.7893e+00
1.0000e-02	-5	false	108102	1.4835e+01	6.2873e+00
1.0000e-02	-5	true	6068	8.0851e-01	5.2145e-01
1.0000e-02	-1	false	619528	1.1819e+02	9.7878e+00
1.0000e-02	-1	true	34143	6.1367e+00	9.3895e-01
1.0000e-02	0	false	5168502	1.5177e+03	2.6720e+01
1.0000e-02	0	true	308776	9.1042e+01	3.9561e+00
1.0000e-02	1	false	626830	1.3713e+02	6.6769e+00
1.0000e-02	1	true	33568	6.6082e+00	5.2820e-01
1.0000e-02	5	false	102946	1.1285e+01	4.4554e+00
1.0000e-02	5	true	5535	5.9065e-01	2.9908e-01
1.0000e-02	10	false	85934	9.6227e+00	5.1369e+00
1.0000e-02	10	true	4873	1.1423e+00	3.1818e-01
5.0000e-02	-10	false	43364	2.4186e+01	1.8170e+01
5.0000e-02	-10	true	3020	2.7828e+00	1.8375e+00
5.0000e-02	-5	false	37036	2.5173e+01	7.6653e+00
5.0000e-02	-5	true	2004	1.1204e+00	5.3425e-01
5.0000e-02	-1	false	199097	2.2232e+02	1.1230e+01
5.0000e-02	-1	true	11109	1.0576e+01	1.0630e+00
5.0000e-02	0	false	1462302	2.2631e+03	3.4510e+01
5.0000e-02	0	true	91481	1.2620e+02	5.1417e+00
5.0000e-02	1	false	213976	2.3279e+02	8.3524e+00
5.0000e-02	1	true	11540	1.0689e+01	6.8863e-01
5.0000e-02	5	false	34056	1.5921e+01	5.5702e+00
5.0000e-02	5	true	1784	7.3313e-01	3.5542e-01
5.0000e-02	10	false	24917	1.0954e+01	6.0651e+00
5.0000e-02	10	true	1421	1.3598e+00	3.6243e-01
1.0000e-01	-10	false	34523	5.3397e+01	3.6986e+01
1.0000e-01	-10	true	2313	5.3985e+00	3.3812e+00
1.0000e-01	-5	false	32881	6.5661e+01	1.7323e+01
1.0000e-01	-5	true	1852	2.9848e+00	1.2410e+00
1.0000e-01	-1	false	197016	6.9192e+02	2.5804e+01
1.0000e-01	-1	true	11206	3.2048e+01	2.2781e+00
1.0000e-01	0	false	1509685	6.5644e+03	8.2364e+01
1.0000e-01	0	true	96903	3.6840e+02	1.3232e+01
1.0000e-01	1	false	199768	6.5297e+02	1.8891e+01
1.0000e-01	1	true	10865	2.9266e+01	1.4861e+00
1.0000e-01	5	false	27000	3.6948e+01	1.1746e+01
1.0000e-01	5	true	1303	1.4581e+00	6.4801e-01
1.0000e-01	10	false	16835	2.0878e+01	1.2406e+01
1.0000e-01	10	true	989	2.1930e+00	6.6253e-01
2.0000e-01	-10	false	43309	3.6661e+02	2.1055e+02
2.0000e-01	-10	true	2747	3.1151e+01	1.5286e+01
2.0000e-01	-5	false	45665	5.0987e+02	1.0016e+02
2.0000e-01	-5	true	2368	2.2119e+01	6.6325e+00
2.0000e-01	-1	false	405354	1.2092e+04	1.6573e+02
2.0000e-01	-1	true	20890	5.0628e+02	1.5396e+01
2.0000e-01	0	false	3992183	9.3166e+04	6.9560e+02
2.0000e-01	0	true	237455	5.2097e+03	1.2181e+02
2.0000e-01	1	false	398431	8.5691e+03	1.4498e+02
2.0000e-01	1	true	19826	3.5950e+02	1.0819e+01
2.0000e-01	5	false	35064	2.8130e+02	7.3254e+01
2.0000e-01	5	true	1714	1.1719e+01	4.1418e+00
2.0000e-01	10	false	19147	1.2686e+02	8.5641e+01
2.0000e-01	10	true	1084	1.1150e+01	4.2475e+00
