freq	length_group	segdup	n_variants	mean_number_homvars_with_ref_support	mean_number_reclassified
0.0000e+00	-10	false	48325	2.7746e-02	1.6970e-02
0.0000e+00	-10	true	7718	3.4394e-02	1.4060e-02
0.0000e+00	-5	false	51568	1.6994e-02	6.3937e-03
0.0000e+00	-5	true	5790	3.5468e-03	1.6064e-03
0.0000e+00	-1	false	421843	1.1275e-01	9.3600e-03
0.0000e+00	-1	true	55595	3.6223e-02	7.3957e-03
0.0000e+00	0	false	12210843	4.4440e+00	4.8327e-02
0.0000e+00	0	true	1717023	1.9898e+00	1.0468e-01
0.0000e+00	1	false	187786	1.3196e-01	8.2944e-03
0.0000e+00	1	true	23428	2.6951e-02	2.8390e-03
0.0000e+00	5	false	28195	3.5062e-02	6.4971e-03
0.0000e+00	5	true	3061	3.4434e-03	1.7336e-03
0.0000e+00	10	false	29718	3.1213e-02	4.8828e-03
0.0000e+00	10	true	5093	2.8676e-02	1.3678e-03
1.0000e-02	-10	false	429	6.2053e-02	4.4732e-02
1.0000e-02	-10	true	103	1.0696e-01	2.6990e-02
1.0000e-02	-5	false	431	4.7627e-02	1.4116e-02
1.0000e-02	-5	true	32	8.9783e-03	2.0199e-03
1.0000e-02	-1	false	3162	3.6914e-01	2.4827e-02
1.0000e-02	-1	true	334	6.7890e-02	1.4807e-02
1.0000e-02	0	false	44264	1.1503e+01	1.2391e-01
1.0000e-02	0	true	10460	4.4137e+00	2.8724e-01
1.0000e-02	1	false	2675	5.2270e-01	2.6943e-02
1.0000e-02	1	true	277	4.3794e-02	1.5300e-02
1.0000e-02	5	false	258	5.6088e-02	1.4601e-02
1.0000e-02	5	true	30	5.3440e-03	6.4971e-03
1.0000e-02	10	false	151	2.6672e-02	5.2724e-03
1.0000e-02	10	true	42	2.7651e-02	4.3579e-03
5.0000e-02	-10	false	140	1.3714e-01	4.6840e-02
5.0000e-02	-10	true	30	9.2328e-02	4.5965e-02
5.0000e-02	-5	false	182	1.2744e-01	2.2466e-02
5.0000e-02	-5	true	19	2.4040e-02	1.2899e-02
5.0000e-02	-1	false	1399	5.2387e-01	3.4172e-02
5.0000e-02	-1	true	117	1.2740e-01	1.6287e-02
5.0000e-02	0	false	15255	1.8354e+01	1.5347e-01
5.0000e-02	0	true	3846	6.2243e+00	3.0702e-01
5.0000e-02	1	false	1222	7.4357e-01	2.8112e-02
5.0000e-02	1	true	97	7.3878e-02	8.7317e-03
5.0000e-02	5	false	97	4.3341e-02	3.7543e-02
5.0000e-02	5	true	9	8.2228e-03	1.9483e-03
5.0000e-02	10	false	42	3.1810e-02	6.1472e-03
5.0000e-02	10	true	5	8.0319e-04	6.0438e-04
1.0000e-01	-10	false	133	3.0393e-01	7.7918e-02
1.0000e-01	-10	true	22	1.0406e-01	3.4863e-02
1.0000e-01	-5	false	145	1.7607e-01	4.5416e-02
1.0000e-01	-5	true	13	2.0406e-02	5.5269e-03
1.0000e-01	-1	false	1505	1.5644e+00	7.6788e-02
1.0000e-01	-1	true	151	3.1224e-01	4.2911e-02
1.0000e-01	0	false	16683	6.0487e+01	3.8219e-01
1.0000e-01	0	true	4149	1.9114e+01	6.8767e-01
1.0000e-01	1	false	1206	2.3890e+00	7.8952e-02
1.0000e-01	1	true	124	1.9409e-01	2.8645e-02
1.0000e-01	5	false	72	1.0840e-01	7.9620e-02
1.0000e-01	5	true	10	1.3742e-02	1.6621e-03
1.0000e-01	10	false	35	2.1106e-02	6.2904e-03
1.0000e-01	10	true	2	5.1214e-03	5.2486e-04
2.0000e-01	-10	false	188	2.7997e+00	5.1210e-01
2.0000e-01	-10	true	28	5.7165e-01	1.7140e-01
2.0000e-01	-5	false	252	2.3089e+00	4.5467e-01
2.0000e-01	-5	true	23	2.0640e-01	7.1293e-02
2.0000e-01	-1	false	2883	5.8123e+01	5.1607e-01
2.0000e-01	-1	true	281	6.0504e+00	2.2256e-01
2.0000e-01	0	false	46184	1.0551e+03	4.5701e+00
2.0000e-01	0	true	9450	2.9174e+02	5.4370e+00
2.0000e-01	1	false	2338	4.5992e+01	6.3263e-01
2.0000e-01	1	true	236	4.7188e+00	1.2722e-01
2.0000e-01	5	false	156	1.7739e+00	2.2283e-01
2.0000e-01	5	true	8	1.3187e-01	1.1658e-02
2.0000e-01	10	false	33	9.7505e-02	3.6597e-02
2.0000e-01	10	true	7	3.0816e-02	7.8331e-03
